RCDTS,school_name,district,city,county,school_type,enrollment,avg_class_size,avg_teaching_exp,perc_novice_teachers,teacher_attendance_rate,pupil_teacher_ratio,chronic_absenteeism,ELA_proficiency,math_proficiency,science_proficiency,year
150162990250828,Rickover Naval Academy High Schl,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,396,,,,,,15.3,,,,2020
150162990250828,Rickover Naval Academy High Schl,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,446,25.8,,,,,44.4,8.8,5.5,8.5,2021
150162990250828,Rickover Naval Academy High Schl,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,441,24.5,,,,,49.6,10.4,11.5,27.4,2022
150162990250828,Rickover Naval Academy High Schl,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,459.0,25.9,,,,,49.5,19.2,15.4,33.9,2023
150162990250828,Rickover Naval Academy High Schl,Chicago Public Schools District 299,Chicago,Cook,High School,505,26.0,12.6,3.2,61.3,,44.7,17.4,*,41.2,2024
150162990250829,Uplift Community High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,160,,,,,,72.2,3.1,0.0,0.0,2019
150162990250829,Uplift Community High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,121,,,,,,35.2,,,,2020
150162990250829,Uplift Community High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,103,10.3,,,,,75.0,7.7,0.0,,2021
150162990250829,Uplift Community High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,84,8.6,,,,,81.8,7.1,7.1,41.7,2022
150162990250829,Uplift Community High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,98.0,12.2,,,,,66.7,6.3,0.0,0.0,2023
150162990250829,Uplift Community High School,Chicago Public Schools District 299,Chicago,Cook,High School,158,19.3,9.6,19.2,88.5,,74.1,*,*,*,2024
15016299025082C,CICS - Northtown  Campus,Chicago Public Schools District 299,Chicago,Cook,High School,836,24.5,8.1,9.1,30.9,,45.9,20.6,15.4,22.7,2024
150162990250830,World Language High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,353,,,,,,35.9,8.3,6.3,2.1,2019
150162990250830,World Language High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,361,,,,,,19.1,,,,2020
150162990250830,World Language High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,346,19.6,,,,,43.6,8.1,8.1,6.3,2021
150162990250830,World Language High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,316,19.1,,,,,47.2,8.3,4.8,19.7,2022
150162990250830,World Language High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,344.0,20.2,,,,,51.7,12.9,5.9,30.0,2023
150162990250830,World Language High School,Chicago Public Schools District 299,Chicago,Cook,High School,323,18.5,14.6,3.2,42.1,,53.4,*,*,24.3,2024
150162990250831,Douglass Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,61,,,,,,93.8,0.0,0.0,0.0,2019
150162990250831,Douglass Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,57,,,,,,57.1,,,,2020
150162990250831,Douglass Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,49,12.6,,,,,92.0,0.0,0.0,,2021
150162990250831,Douglass Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,43,11.3,,,,,77.4,0.0,0.0,0.0,2022
150162990250831,Douglass Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,34.0,8.5,,,,,64.3,,,,2023
150162990250831,Douglass Academy High School,Chicago Public Schools District 299,Chicago,Cook,High School,35,9.3,14.9,,42.9,,62.2,*,*,*,2024
150162990250832,Devry Advantage Academy High Schl,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,171,,,,,,7.1,49.3,62.3,25.0,2019
150162990250832,Devry Advantage Academy High Schl,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,142,,,,,,5.6,,,,2020
150162990250832,Devry Advantage Academy High Schl,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,158,17.3,,,,,18.4,36.9,27.4,29.6,2021
150162990250832,Devry Advantage Academy High Schl,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,162,18.1,,,,,37.0,41.3,43.8,62.5,2022
150162990250832,Devry Advantage Academy High Schl,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,134.0,17.9,,,,,43.7,37.0,29.6,53.7,2023
150162990250832,Devry Advantage Academy High Schl,Chicago Public Schools District 299,Chicago,Cook,High School,130,18.1,7.1,14.3,71.4,,30.1,31.1,25.7,43.2,2024
150162990250833,Lindblom Math & Science Acad HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1361,,,,,,24.2,45.6,47.4,48.5,2019
150162990250833,Lindblom Math & Science Acad HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1357,,,,,,10.8,,,,2020
150162990250833,Lindblom Math & Science Acad HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1396,25.3,,,,,42.3,50.7,46.7,79.8,2021
150162990250833,Lindblom Math & Science Acad HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1375,26.1,,,,,42.1,40.7,38.7,38.9,2022
150162990250833,Lindblom Math & Science Acad HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1396.0,26.5,,,,,40.8,35.6,31.4,47.6,2023
150162990250833,Lindblom Math & Science Acad HS,Chicago Public Schools District 299,Chicago,Cook,High School,1332,25.0,10.1,1.2,68.6,,45.7,53.9,36.4,47.4,2024
150162990250834,Bronzeville Scholastic HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,216,,,,,,68.1,2.9,0.0,,2019
150162990250834,Bronzeville Scholastic HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,117,,,,,,42.1,,,,2020
150162990250834,Bronzeville Scholastic HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,85,10.3,,,,,52.1,0.0,0.0,0.0,2021
150162990250834,Bronzeville Scholastic HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,60,8.8,,,,,51.9,,,,2022
150162990250834,Bronzeville Scholastic HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,72.0,13.0,,,,,57.8,9.1,9.1,12.5,2023
150162990250834,Bronzeville Scholastic HS,Chicago Public Schools District 299,Chicago,Cook,High School,105,12.8,12.8,6.3,43.8,,63.9,*,*,*,2024
150162990250835,School of Social Justice HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,300,,,,,,58.3,3.3,1.6,1.1,2019
150162990250835,School of Social Justice HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,317,,,,,,31.8,,,,2020
150162990250835,School of Social Justice HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,334,20.0,,,,,58.0,3.9,1.3,1.7,2021
150162990250835,School of Social Justice HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,300,18.8,,,,,76.7,3.8,5.1,11.3,2022
150162990250835,School of Social Justice HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,281.0,16.4,,,,,64.4,3.0,0.0,4.8,2023
150162990250835,School of Social Justice HS,Chicago Public Schools District 299,Chicago,Cook,High School,299,16.2,12.1,,31.3,,78.4,*,*,*,2024
150162990250836,Multicultural Acad of Scholarshp HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,220,,,,,,63.6,1.5,3.1,1.3,2019
150162990250836,Multicultural Acad of Scholarshp HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,214,,,,,,35.9,,,,2020
150162990250836,Multicultural Acad of Scholarshp HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,223,18.9,,,,,0.9,0.0,2.2,0.0,2021
150162990250836,Multicultural Acad of Scholarshp HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,235,19.4,,,,,71.4,3.2,1.6,12.3,2022
150162990250836,Multicultural Acad of Scholarshp HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,258.0,20.0,,,,,69.3,6.4,0.0,27.5,2023
150162990250836,Multicultural Acad of Scholarshp HS,Chicago Public Schools District 299,Chicago,Cook,High School,238,14.2,10.8,11.0,43.1,,73.5,*,*,*,2024
150162990250837,Infinity Math  Science & Tech HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,407,,,,,,21.9,10.4,22.9,13.1,2019
150162990250837,Infinity Math  Science & Tech HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,383,,,,,,16.0,,,,2020
150162990250837,Infinity Math  Science & Tech HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,398,20.5,,,,,38.9,15.6,16.7,16.9,2021
150162990250837,Infinity Math  Science & Tech HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,404,18.9,,,,,40.6,8.0,18.2,34.6,2022
150162990250837,Infinity Math  Science & Tech HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,409.0,19.7,,,,,40.2,16.3,15.4,46.1,2023
150162990250837,Infinity Math  Science & Tech HS,Chicago Public Schools District 299,Chicago,Cook,High School,428,20.1,11.4,,48.8,,54.8,11.2,12.9,23.2,2024
15016299025083C,CICS - Ralph Ellison Campus,Chicago Public Schools District 299,Chicago,Cook,High School,201,15.8,9.4,12.5,37.5,,73.7,*,*,*,2024
150162990250841,Collins Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,218,,,,,,78.8,2.0,0.0,2.0,2019
150162990250841,Collins Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,227,,,,,,39.9,,,,2020
150162990250841,Collins Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,232,19.4,,,,,81.4,3.3,0.0,6.7,2021
150162990250841,Collins Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,250,12.5,,,,,80.2,1.8,1.8,2.3,2022
150162990250841,Collins Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,219.0,17.3,,,,,77.8,0.0,0.0,1.9,2023
150162990250841,Collins Academy High School,Chicago Public Schools District 299,Chicago,Cook,High School,210,17.2,10.2,7.1,39.3,,75.2,*,*,*,2024
150162990250844,Austin College and Career Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,195,,,,,,94.8,5.6,1.4,0.0,2019
150162990250844,Austin College and Career Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,238,,,,,,64.5,,,,2020
150162990250844,Austin College and Career Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,233,21.5,,,,,80.6,1.4,0.0,6.3,2021
150162990250844,Austin College and Career Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,154,19.2,,,,,83.8,9.4,3.8,4.9,2022
150162990250844,Austin College and Career Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,170.0,22.0,,,,,83.6,0.0,0.0,10.9,2023
150162990250844,Austin College and Career Academy High School,Chicago Public Schools District 299,Chicago,Cook,High School,170,18.2,12.1,,27.3,,84.9,*,*,*,2024
150162990250847,Orr Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,223,,,,,,100.0,5.5,1.8,2.7,2019
150162990250847,Orr Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,230,,,,,,52.8,,,,2020
150162990250847,Orr Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,220,26.1,,,,,69.9,6.1,6.1,11.1,2021
150162990250847,Orr Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,208,26.4,,,,,74.3,4.2,5.2,11.1,2022
150162990250847,Orr Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,231.0,23.8,,,,,71.6,7.4,3.7,6.1,2023
150162990250847,Orr Academy High School,Chicago Public Schools District 299,Chicago,Cook,High School,244,29.9,9.2,12.8,53.2,,75.2,*,*,*,2024
150162990250848,Air Force Acad High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,195,,,,,,24.4,5.7,7.5,10.0,2019
150162990250848,Air Force Acad High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,194,,,,,,13.8,,,,2020
150162990250848,Air Force Acad High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,193,19.7,,,,,32.3,9.8,7.8,15.7,2021
150162990250848,Air Force Acad High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,172,14.7,,,,,60.3,13.6,9.1,25.0,2022
150162990250848,Air Force Acad High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,139.0,13.0,,,,,58.9,7.7,2.6,42.1,2023
150162990250848,Air Force Acad High School,Chicago Public Schools District 299,Chicago,Cook,High School,116,10.2,15.2,5.3,49.3,,52.0,*,*,*,2024
150162990250849,Alcott Humanities High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,318,,,,,,36.0,18.7,20.0,5.9,2019
150162990250849,Alcott Humanities High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,319,,,,,,17.4,,,,2020
150162990250849,Alcott Humanities High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,330,23.9,,,,,55.0,11.9,10.7,6.7,2021
150162990250849,Alcott Humanities High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,351,25.1,,,,,54.5,5.9,11.8,17.4,2022
150162990250849,Alcott Humanities High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,347.0,19.6,,,,,49.2,13.4,9.8,27.0,2023
150162990250849,Alcott Humanities High School,Chicago Public Schools District 299,Chicago,Cook,High School,367,19.6,10.4,8.6,57.1,,56.2,16.8,14.0,26.5,2024
15016299025084C,North Lawndale Prep Chtr - Christiana,Chicago Public Schools District 299,Chicago,Cook,High School,299,22.0,4.5,22.2,100.0,,71.7,*,*,*,2024
150162990250850,Chicago Technology Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,272,,,,,,46.5,4.3,0.0,1.4,2019
150162990250850,Chicago Technology Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,312,,,,,,21.6,,,,2020
150162990250850,Chicago Technology Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,374,21.1,,,,,48.8,5.9,2.9,,2021
150162990250850,Chicago Technology Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,408,22.1,,,,,57.2,3.5,1.4,31.3,2022
150162990250850,Chicago Technology Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,378.0,22.6,,,,,48.3,2.4,0.0,8.8,2023
150162990250850,Chicago Technology Academy HS,Chicago Public Schools District 299,Chicago,Cook,High School,365,22.2,4.5,17.2,100.0,,58.4,*,*,*,2024
150162990250851,Chicago HS for the Arts,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,611,,,,,,3.5,37.8,18.9,29.6,2019
150162990250851,Chicago HS for the Arts,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,617,,,,,,6.7,,,,2020
150162990250851,Chicago HS for the Arts,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,613,26.6,,,,,14.4,29.8,16.5,,2021
150162990250851,Chicago HS for the Arts,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,621,19.2,,,,,11.5,35.2,14.2,,2022
150162990250851,Chicago HS for the Arts,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,602.0,28.9,,,,,37.9,35.5,13.2,62.2,2023
150162990250851,Chicago HS for the Arts,Chicago Public Schools District 299,Chicago,Cook,High School,601,23.6,8.3,15.9,100.0,,19.0,32.6,11.8,46.3,2024
150162990250855,Ogden Int High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,594,,,,,,31.6,28.9,20.3,34.6,2019
150162990250855,Ogden Int High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,638,,,,,,20.1,,,,2020
150162990250855,Ogden Int High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,632,24.6,,,,,42.0,13.8,11.2,,2021
150162990250855,Ogden Int High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,564,22.1,,,,,58.3,15.6,16.3,34.0,2022
150162990250855,Ogden Int High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,490.0,22.8,,,,,55.5,23.4,20.6,29.7,2023
150162990250855,Ogden Int High School,Chicago Public Schools District 299,Chicago,Cook,High School,507,24.9,11.6,10.1,62.5,,62.8,16.8,12.1,18.8,2024
150162990250856,Williams Medical Prep High Sch,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,177,,,,,,62.6,10.3,0.0,6.2,2019
150162990250856,Williams Medical Prep High Sch,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,126,,,,,,38.6,,,,2020
150162990250856,Williams Medical Prep High Sch,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,107,11.8,,,,,60.2,0.0,0.0,0.0,2021
150162990250856,Williams Medical Prep High Sch,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,63,12.8,,,,,71.4,5.6,0.0,6.7,2022
150162990250856,Williams Medical Prep High Sch,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,72.0,12.8,,,,,59.5,5.9,5.9,12.5,2023
150162990250856,Williams Medical Prep High Sch,Chicago Public Schools District 299,Chicago,Cook,High School,79,14.6,15.4,,51.7,,54.3,*,*,*,2024
150162990250857,Westinghouse High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1203,,,,,,21.1,39.9,41.3,16.3,2019
150162990250857,Westinghouse High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1238,,,,,,12.4,,,,2020
150162990250857,Westinghouse High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1253,28.8,,,,,48.7,31.3,23.3,,2021
150162990250857,Westinghouse High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1187,27.6,,,,,47.9,26.1,33.8,35.0,2022
150162990250857,Westinghouse High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1195.0,27.7,,,,,55.3,37.2,27.7,18.2,2023
150162990250857,Westinghouse High School,Chicago Public Schools District 299,Chicago,Cook,High School,1225,28.0,11.4,6.7,49.7,,61.5,31.1,19.5,29.1,2024
150162990250859,Solorio Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1195,,,,,,22.4,26.9,37.1,40.2,2019
150162990250859,Solorio Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1219,,,,,,11.2,,,,2020
150162990250859,Solorio Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1232,27.3,,,,,46.8,19.6,19.6,31.8,2021
150162990250859,Solorio Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1247,25.4,,,,,45.2,15.3,17.9,36.7,2022
150162990250859,Solorio Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1224.0,25.2,,,,,37.6,16.4,16.7,39.1,2023
150162990250859,Solorio Academy High School,Chicago Public Schools District 299,Chicago,Cook,High School,1231,24.1,9.6,6.0,55.4,,37.8,18.0,18.7,35.2,2024
15016299025085C,Acero Chtr Sch Network -  Major Hector P Garcia MD H S,Chicago Public Schools District 299,Chicago,Cook,High School,615,25.1,9.1,10.9,100.0,,49.0,7.3,*,27.2,2024
150162990250860,South Shore Intl Col Prep HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,654,,,,,,34.8,14.0,6.6,9.2,2019
150162990250860,South Shore Intl Col Prep HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,586,,,,,,23.3,,,,2020
150162990250860,South Shore Intl Col Prep HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,557,27.5,,,,,61.3,11.1,3.0,,2021
150162990250860,South Shore Intl Col Prep HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,566,22.8,,,,,73.8,11.8,3.5,12.3,2022
150162990250860,South Shore Intl Col Prep HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,509.0,22.5,,,,,63.9,17.0,5.7,30.1,2023
150162990250860,South Shore Intl Col Prep HS,Chicago Public Schools District 299,Chicago,Cook,High School,562,24.2,15.4,10.0,40.0,,73.3,8.6,7.3,18.6,2024
150162990250861,Goode STEM Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,917,,,,,,46.0,6.4,10.5,5.0,2019
150162990250861,Goode STEM Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,924,,,,,,27.3,,,,2020
150162990250861,Goode STEM Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,936,22.1,,,,,47.1,5.7,5.2,1.2,2021
150162990250861,Goode STEM Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,953,22.1,,,,,53.8,3.6,4.9,6.5,2022
150162990250861,Goode STEM Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,971.0,23.1,,,,,48.8,3.7,2.3,12.7,2023
150162990250861,Goode STEM Academy HS,Chicago Public Schools District 299,Chicago,Cook,High School,951,24.2,12.7,1.6,29.5,,48.7,7.5,6.2,21.0,2024
